ADC0 CH1 | V-load: 1.216V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.222mW|| CH2 || V-load: 4.595V | *Voltage: 3.844mV | I-load: 19.220mA | P-load: 88.324mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.461mV | I-load: 10.923mA | P-load: 13.259mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.150mW
ADC0 CH1 | V-load: 1.216V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.222mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.333mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.212mW|| CH2 || V-load: 4.597V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.810mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.216mW|| CH2 || V-load: 4.597V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.353mW
ADC0 CH1 | V-load: 1.217V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.230mW|| CH2 || V-load: 4.597V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.357mW
ADC0 CH1 | V-load: 1.216V | *Voltage: 5.414mV | I-load: 10.829mA | P-load: 13.163mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.970mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.446mV | I-load: 10.891mA | P-load: 13.219mW|| CH2 || V-load: 4.595V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.326mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.430mV | I-load: 10.860mA | P-load: 13.199mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.165mW
ADC0 CH1 | V-load: 1.213V | *Voltage: 5.422mV | I-load: 10.844mA | P-load: 13.158mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 1.216V | *Voltage: 5.422mV | I-load: 10.844mA | P-load: 13.190mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.422mV | I-load: 10.844mA | P-load: 13.180mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.173mW
ADC0 CH1 | V-load: 1.217V | *Voltage: 5.477mV | I-load: 10.954mA | P-load: 13.325mW|| CH2 || V-load: 4.597V | *Voltage: 4.063mV | I-load: 20.314mA | P-load: 93.389mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.422mV | I-load: 10.844mA | P-load: 13.176mW|| CH2 || V-load: 4.595V | *Voltage: 4.110mV | I-load: 20.548mA | P-load: 94.424mW
ADC0 CH1 | V-load: 1.217V | *Voltage: 5.422mV | I-load: 10.844mA | P-load: 13.196mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.333mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.446mV | I-load: 10.891mA | P-load: 13.219mW|| CH2 || V-load: 4.596V | *Voltage: 4.047mV | I-load: 20.236mA | P-load: 93.011mW
ADC0 CH1 | V-load: -0.001V | *Voltage: 0.063mV | I-load: 0.125mA | P-load: -0.000mW|| CH2 || V-load: 4.597V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.822mW
ADC0 CH1 | V-load: -0.000V | *Voltage: 0.008mV | I-load: 0.016mA | P-load: -0.000mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.134mW
ADC0 CH1 | V-load: -0.000V | *Voltage: 0.000mV | I-load: 0.000mA | P-load: 0.000mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.169mW
ADC0 CH1 | V-load: -0.000V | *Voltage: -0.008mV | I-load: -0.016mA | P-load: 0.000mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.146mW
